income,credit_score,employment_years,works_in_tech,has_stem_degree,plays_golf,favorite_color_blue,birth_month,gender,loan_approved
20000.0,600.7081496885897,8.134727796145468,0,0,0,0,3,0,0
20000.0,618.5860277179132,5.0301545218304025,0,0,0,1,6,1,0
61664.5673079114,567.4538759417252,7.619252817459289,1,0,0,0,12,1,0
20000.0,578.8598270023266,9.057268186923151,1,0,1,0,3,1,1
83379.02915609906,684.7501537622694,5.573545052919284,0,0,0,0,11,0,0
47866.39127508992,660.5292298618193,7.797052829535666,0,1,0,1,1,0,1
52567.84111833576,689.3269206072379,9.88149461230488,0,0,0,0,5,0,0
41648.81097176318,667.121151176067,8.444431512284062,1,1,1,1,10,1,1
73185.4351563117,706.3470880918077,7.177908367103436,1,0,1,0,11,1,1
73494.79663331032,720.2571198523996,9.978778108095408,1,1,0,1,7,1,1
60051.63055736514,510.6626704107117,7.283761597970638,0,0,0,1,11,0,0
66943.67317722944,581.655227966851,10.086161001112892,1,1,1,1,11,1,1
43637.309902387235,631.4899234007969,5.525909689986675,1,1,1,0,5,1,1
66266.09020727145,648.1857979610127,5.116722642710699,0,1,0,0,1,0,1
39863.666735785795,596.3927540945573,6.968212048040792,0,0,0,1,2,0,1
50066.94866487206,722.9618936790645,5.644893863384507,0,0,0,0,2,0,1
41760.68751901107,808.3958694632479,8.904908343986284,0,0,0,0,12,0,1
36283.44382042412,664.8929564465387,7.682823061596706,1,0,0,0,10,1,1
29326.646068346294,656.7472825758568,7.336920827494924,0,0,0,1,11,0,0
64030.70311576656,717.9565004083465,9.734715138080922,0,0,0,1,4,0,1
89318.1773844039,500.73281958372513,16.546192246861292,1,1,1,1,4,1,1
85133.05915008677,652.2775152350729,9.205008841096888,0,0,0,1,1,0,0
20000.0,728.3228660374014,7.068114252763487,0,0,0,1,2,0,1
88676.09154220621,598.547680223911,9.657247097588838,0,0,0,0,2,0,1
40455.24495146213,551.8751536078428,8.79092045093643,1,0,0,1,11,0,1
68021.99045436774,635.1355511920177,7.004514041197313,1,1,0,1,1,1,1
22813.54003858367,645.1451653438463,5.777083218543862,0,0,0,1,5,0,0
54259.39741622016,577.3078174467634,11.723117104237133,1,0,0,0,5,1,0
59411.695486907214,817.6929020840761,9.965932343762038,1,0,1,1,5,1,1
20000.0,611.7042895193644,6.75418599530854,0,0,0,0,12,0,0
68248.01499032568,557.7072518858745,9.02493870108196,0,0,0,0,6,1,1
90378.05023514945,642.5102944743511,7.7396176791801405,0,0,0,1,11,0,1
44760.561629551165,722.6288510163592,7.603275986971795,0,0,0,0,5,0,1
90805.04392484039,651.3931399198585,5.2590658278388265,0,1,0,0,10,1,1
44309.195196427776,688.8475136035202,6.626828061464849,1,1,1,0,7,1,1
75487.53593139851,580.2791524533475,6.155580574261574,1,0,0,1,9,1,0
20000.0,769.015075712281,8.285633292401094,0,0,0,1,9,0,0
122563.3333794039,694.9368822334754,5.019449019734365,0,0,0,0,10,0,1
94863.74735728871,733.8161255102087,9.84100807965362,0,1,0,0,1,1,1
41461.234872389636,679.2128505980136,5.860277055264031,0,0,0,1,6,0,0
20000.0,715.9907230183028,8.921115741184204,0,0,0,1,7,0,1
58640.851049164674,580.1557952258217,5.041448968164003,0,0,0,0,9,0,0
20000.0,610.687166664835,5.423889113038274,0,0,0,0,10,0,1
63345.60612672464,757.7184476444824,5.3281202691056375,1,1,1,0,11,1,1
62346.97157492846,774.7793557827171,10.122622243529044,0,0,0,0,12,0,1
21757.904929939257,558.2347520224739,8.221207922896156,0,1,1,0,5,1,1
83629.01070843133,669.9788854291049,10.723763954486838,0,0,0,0,2,0,1
74167.2410841852,615.5244959611819,11.137468056793143,1,1,0,0,10,1,1
79274.70011865691,594.2374824508111,15.96566824331669,0,1,1,0,8,1,1
50265.73111006686,672.787175628436,13.60409749140999,0,0,0,0,1,0,1
20000.0,741.2770345892327,6.149222054227505,1,0,0,1,7,1,1
79336.16816633413,686.1329978627355,5.758270946606001,1,0,0,0,12,1,1
41888.85802592627,624.4390040064771,5.24006495589456,1,1,1,0,4,1,1
20000.0,691.1888943948128,6.5408217313607215,1,1,1,0,10,1,1
90561.18097922977,621.2019061135279,5.001052805067372,0,1,1,0,6,1,1
112982.22561507528,682.9691440584481,5.533580755349069,1,0,1,0,8,1,1
48762.55613062391,761.7172560364587,10.235673237424741,0,0,0,0,11,0,1
114773.63463809875,483.8272272559338,7.262384319003399,0,0,0,0,3,0,1
52739.44185834049,713.7801838832027,8.835215417483045,0,0,0,1,2,0,0
38586.322875009464,526.8756062743626,7.962695657342898,0,0,0,0,8,0,1
31086.246374435676,748.2662168435569,7.096428012733357,0,1,0,0,6,0,1
99112.47223978228,599.0379512101712,7.181094902324876,0,0,0,1,11,0,1
26595.683558366847,552.5862897914812,8.168553705448645,0,0,1,0,6,1,0
72058.07929924963,705.6215381670997,5.630290404892159,0,0,0,0,8,0,1
33225.08494822375,679.1336050513928,5.886693888500402,0,0,0,0,5,0,0
36190.79712276911,570.0650477630674,5.995652469731738,1,0,0,1,11,1,1
80907.490819087,549.7600194265285,14.712472227809597,0,0,0,0,5,0,1
