years_experience,coding_score,education_level,portfolio_quality,ivy_league,unpaid_internships,golf_club_member,lacrosse_player,birth_month,zodiac_fire_sign,race,hired
2.339156500045399,33.92393639805829,2,6.421938813221465,1,1,1,0,6,1,1,1
2.0241672599600227,61.719835379575635,2,5.188812013903405,0,0,0,0,8,0,0,0
0.9688577676878353,76.12560951456406,3,8.321494036317393,0,4,0,0,5,1,0,1
4.673122236542987,25.46168647409519,2,7.517236858125003,1,2,1,0,1,1,1,1
3.237277253240918,84.24615456733845,2,8.09571213758402,1,5,0,1,5,1,1,1
10.038432821705147,47.42897931229741,2,6.391000960894461,0,1,0,0,7,0,1,1
0.16318200545416794,30.499572301229716,2,5.245591702502163,0,2,1,0,6,0,1,0
5.16226813458098,65.15509560416366,2,4.2016702579704015,0,0,0,0,2,0,0,0
7.197397293122886,41.07091043489904,1,2.4621523150682565,0,0,0,0,10,0,0,0
7.124896728123755,48.36526647937011,4,6.00409123093269,0,1,0,0,2,0,0,1
10.8610293767145,41.91443511575842,3,6.1707146695912085,1,2,0,0,7,1,1,1
6.5288048907034515,33.665241362702,2,4.300437336185352,0,0,0,0,1,0,0,1
13.142273003979595,64.47994064803808,2,6.227362056233267,0,0,0,0,1,1,0,1
2.0222526135269088,44.273971942116255,1,4.335644336801712,0,4,0,0,2,1,1,0
3.497933516782039,21.26696415641508,3,6.7348553826939215,0,0,0,0,2,0,1,0
0.07089861024049894,61.02120248431866,2,3.235785413714562,0,1,0,0,9,0,1,0
0.03490952085312116,25.888352979524893,2,2.889776929982596,1,3,0,0,1,0,1,1
1.3730173271966042,26.934796546494827,2,4.518842545562705,0,5,1,0,11,0,1,0
0.5312890190527877,73.85212409954633,2,6.657570791004574,1,1,1,0,12,0,1,1
1.506953829651113,26.07320201579576,3,2.682429070681953,0,2,0,0,5,0,1,0
0.9742584271705841,3.671102861450194,3,7.099374038018391,1,3,0,0,5,0,0,1
0.14467311332979887,62.45722969922991,3,1.714823731229575,0,2,0,0,6,0,1,1
12.001218192592443,43.922731410377395,2,4.506508248811419,1,2,1,1,4,1,1,1
0.04128563916787402,45.646897577237674,3,2.1738477457947183,1,1,0,0,12,0,1,1
6.660586885229424,43.709992132996,2,0.0,0,2,1,0,3,0,1,1
0.8252452667553098,54.633398780374534,2,5.732903609550508,1,0,0,0,9,0,0,0
12.16515607836053,34.94561516193864,2,4.64437778273777,1,5,0,0,9,0,1,1
11.165105770513645,79.52229749131529,2,2.2058021343390224,0,3,1,0,8,0,1,1
5.3051542029748635,20.47539039381203,2,3.9667722840304407,0,1,0,0,11,0,1,0
5.5772789843438995,58.89749833354246,3,5.883650453858627,1,3,1,0,1,0,1,1
0.02676723062752661,62.84242007753168,2,4.263700666021662,0,1,0,0,11,0,0,0
20.0,34.80696478333244,2,4.602637768863203,0,3,0,0,2,1,1,1
10.511815364414181,29.525311094443634,4,4.203086859353899,1,0,0,0,3,1,1,1
11.274035572658502,70.34348428340313,2,3.8353957371400806,0,0,0,0,2,1,0,1
5.382950882007854,30.1827849196657,3,3.809325450513845,0,0,0,0,10,0,0,0
2.113973982406577,37.86672118498866,3,3.750605267408529,0,0,0,0,10,1,0,0
11.205035174646575,67.74617924919492,2,3.493714247853852,0,2,0,0,8,0,1,1
1.723145565406814,50.694824670780484,2,2.965410804618395,1,3,0,0,6,0,1,0
4.135811088804871,14.05712664741791,3,4.240575364564342,0,1,0,0,8,0,0,0
0.5253082035374286,84.94118289107028,3,3.7201442953439656,0,0,0,0,4,0,1,1
12.752388847856498,39.39978482440068,1,2.8566027389686135,0,1,1,1,7,0,1,1
0.7585958620262025,41.94485420187166,2,6.532029310713906,0,1,0,1,12,0,1,0
1.2737955229836728,55.115685046527304,2,7.4652719438334305,1,1,0,0,9,0,1,1
4.083744840772428,62.50153594008145,3,4.999794450793201,0,0,1,0,10,0,0,1
7.221588101605377,89.22208582582934,2,5.132945975861678,0,5,1,0,4,0,1,1
4.829391960208938,16.798637011886072,4,3.614872068260805,1,0,0,0,2,0,0,0
1.320699633315606,66.51904417851891,4,7.1340627135819945,1,3,0,1,6,0,1,1
0.004717437359254797,64.86019388100154,3,8.47636223015268,1,1,0,1,12,0,1,1
